"text","text_en","cmp_code","eu_code"
"Delivering a strong, prosperous economy and a safe, secure Australia",NA,NA,NA
"In the two years since the last election, my colleagues and I have travelled to all parts of Australia listening and talking with people about their lives, their families and their hopes for our country.",NA,NA,NA
"We have also consulted with experts about opportunities to harness Australia’s great potential.",NA,NA,NA
"From these conversations at homes, work places, factories, farms, school halls, businesses and universities, we have developed our plan to offer Hope, Reward and Opportunity for all Australians.",NA,NA,NA
"Our plan is to build a stronger Australia by building a stronger economy, stronger communities, a cleaner environment, stronger borders and more modern infrastructure.",NA,NA,NA
"The Coalition’s priority will be to build a stronger, more productive and diverse economy through lower taxes,",NA,NA,NA
"more efficient government",NA,NA,NA
"and more productive businesses that will deliver more jobs, higher wages and better services for all Australians.",NA,NA,NA
"With a modernized economy and the right policies, Australians can once again have competitive manufacturing industries, a dynamic services sector and a growing knowledge economy as well as strong agriculture and mining.",NA,NA,NA
"We can also once again have a strong vibrant small business sector creating stronger jobs growth.",NA,NA,NA
"Within five years I am confident that our economy can deliver at least one million new jobs; and two million new jobs within the next decade.",NA,NA,NA
"Our vision for Australia is grounded in the belief that I expressed in my very first speech to the Parliament 19 years ago, that “there is no limit to what Australia can achieve”",NA,NA,NA
"In the seven parliaments I have served since that first speech, as a backbencher, parliamentary secretary, minister, cabinet minister, Leader of the House and now as a party leader, I have not wavered in my belief that our best days as a nation are still ahead of us",NA,NA,NA
"Here, in these pages, is the stronger Australia–a truly 21st Century Australia–that the next Coalition Government will build",NA,NA,NA
"This is the Australia that we believe in",NA,NA,NA
"“There is no limit to what Australia can achieve.”",NA,NA,NA
"1 The Coalition’s top policy priorities",NA,NA,NA
"1. We will build a stronger, more productive and diverse economy with lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher real incomes and better services for you and your family.",NA,"410",NA
"2. We will get the Budget back under control, cut waste and start reducing debt – to keep interest rates as low as possible; and to protect the Australian economy from future economic shocks.",NA,"414",NA
"3. We will help families get ahead by freeing them from the burdens of the carbon tax – to protect Australian jobs and reduce cost-of-living pressures, especially rising electricity and gas prices.",NA,"603",NA
"4. We will help small businesses grow and create more jobs – by reducing business costs and cutting taxes as well as cutting red and green tape costs by $1 billion every year.",NA,"402",NA
"5. We will create stronger jobs growth by building a diverse, world-class 5-Pillar economy – by building on our strengths in Manufacturing Innovation, Advanced Services, Agriculture Exports, world-class Education and Research, as well as boosting Mining Exports.",NA,"411",NA
"6. We will generate one million new jobs over the next five years and two million new jobs within a decade by growing a bigger, more productive and prosperous economy.",NA,"410",NA
"7. We will build more modern infrastructure to get things moving – with an emphasis on reducing the bottlenecks on our gridlocked roads and highways.",NA,"411",NA
"8. We will deliver better services including health services – by putting local communities in charge of hospitals and improving co-operation with the States and Territories.",NA,"504",NA
"9. We will deliver better education – by putting local communities in charge of improving the performance of local schools.",NA,"506",NA
"10. We will take direct action to reduce carbon emissions inside Australia, not overseas – and also establish a 15,000-strong Green Army to clean-up the environment.",NA,"501",NA
"11. We will deliver stronger borders – where the boats are stopped – with tough and proven measures.",NA,"406",NA
"12. We will deliver strong and stable government that restores accountability – to deliver a better future for all Australians.",NA,"305",NA
"We will deliver a strong, prosperous economy",NA,"410",NA
"and a safe, secure Australia.",NA,"605",NA
"Our plan will build a stronger, more productive and prosperous Australia – a truly 21st Century Australia – so that all Australians can get ahead in the global economy, live in a better country and get a better future.",NA,"601",NA
"2 The Coalition’s Plan: building a stronger 21st Century Australia",NA,NA,NA
"Our positive, inclusive vision for Australia",NA,NA,NA
"We believe in Australia and we believe “there is no limit to what Australia can achieve.”",NA,"601",NA
"That’s why our plan is to build a stronger, more productive and prosperous Australia – a truly 21st Century Australia – so that all Australians can get ahead in the global economy, live in a better country and have a better future.",NA,"410",NA
"With your support we will deliver a strong, prosperous economy",NA,"410",NA
"and a safe, secure Australia.",NA,"605",NA
"We will offer every Australian Hope, Reward and Opportunity.",NA,"000",NA
"We’ve been listening",NA,NA,NA
"Your opinion counts.",NA,NA,NA
"That’s why the Coalition Team has travelled all over Australia listening and talking with people about their lives, their jobs and their hopes for their children and our country.",NA,"000",NA
"Australians have told us of their growing concerns.",NA,NA,NA
"Concerns about increasing pressures on family budgets and the huge rise in the cost-of-living – especially rapidly rising electricity and gas prices.",NA,"603",NA
"Concerns about poor superannuation returns and being able to afford a secure retirement.",NA,"603",NA
"Concerns about leaving the next generation worse off and unfairly burdening their children’s and grandchildren’s future with higher taxes and debt.",NA,"414",NA
"Concerns about the lack of modern infrastructure and the bottlenecks on our gridlocked roads.",NA,"411",NA
"Concerns about job security, youth unemployment and the slowing economy.",NA,"410",NA
"Concerns about tax increases, government waste and government debt.",NA,"303",NA
"Concerns about increasing numbers of illegal boat arrivals and the huge blow-out in taxpayer costs.",NA,"406",NA
"We’ve been listening to small business",NA,NA,NA
"Small business people have told us of their growing concerns.",NA,"704",NA
"Concerns about the government not understanding the needs of small business and how the government is increasing the burdens on business.",NA,"704",NA
"Concerns about rapidly rising business costs and taxes – especially rising electricity and gas prices caused by the carbon tax.",NA,"704",NA
"Concerns about increasing levels of red tape and paperwork and increasing levels of bureaucratic over-regulation.",NA,"704",NA
"Concerns about workplace productivity problems.",NA,"704",NA
"Concerns about the economy and the impact of the high Australian dollar on their businesses.",NA,"704",NA
"Concerns about whether they can afford to hire people because of increasing union militancy and the growing uncertainty this creates for businesses.",NA,"704",NA
"We’ve been consulting with the experts",NA,NA,NA
"We have also been consulting widely with business and various experts about confronting the challenges facing Australia.",NA,"404",NA
"For example: the need to foster productivity, competitiveness and growth if we are to lift Australians’ living standards and what needs to be done to unleash Australia’s real economic potential, particularly in the context of the great transformation currently occurring in the Asian region.",NA,"410",NA
"We have taken all these ideas into account in developing our plan for Australia’s future.",NA,"404",NA
"It’s time to honestly face Australia’s challenges",NA,NA,NA
"Australia has come a long way but we must now honestly and seriously address the real challenges and issues confronting the nation particularly in this new debt challenged world.",NA,"000",NA
"We must be realistic and practical and we must adopt real solutions to these challenges.",NA,"000",NA
"For example:",NA,NA,NA
"we must start living within our means and start paying down government debt to protect ourselves against any future economic shocks and to avoid leaving a debt legacy to our children;",NA,"414",NA
"we must start addressing the unsustainable structural imbalances in our Budget and get the Budget back on track to strong and sustainable surpluses;",NA,"414",NA
"we must free Australia from the shackles and burdens holding us back and unleash Australia’s real economic potential so we can compete more effectively in Asia;",NA,"401",NA
"we must boost productivity growth to make Australia more competitive, productive and prosperous;",NA,"410",NA
"we must start building a more diverse, world-class economy–a 5-Pillar economy–that builds on our strengths as a nation and builds real prosperity for the future so that living standards improve, not fall, in the years ahead;",NA,"410",NA
"we must build more modern infrastructure suited to the21st Century;",NA,"411",NA
