"text","text_en","cmp_code","eu_code"
"ACTION ON GLOBAL WARMING",NA,"H",NA
"There is no escaping our economic future.",NA,"416.2",NA
"It is clean and green or it is no future at all.",NA,"416.2",NA
"Global warming puts our health, our economy and our precious places at risk, and we need to act.",NA,"416.2",NA
"Our plan for action on global warming will help us to move from our fossil fuel dependence and into clean energy while attracting new businesses and jobs.",NA,"416.2",NA
"The Greens are the only party with the courage to tackle catastrophic global warming & transition Australia away from coal towards a clean energy economy.",NA,"416.2",NA
"We can embrace the next wave of technologies to help reduce our reliance on coal and gas fired power.",NA,"416.2",NA
"We need to build an energy system fit for the 21st century, and transition away from the polluting industries of the past, while ensuring that workers, families and communities are not left behind.",NA,"416.2",NA
"We’re already feeling severe impacts including devastating coral bleaching on the Great Barrier Reef and we need to prepare and adapt in order to save lives and protect communities.",NA,"501",NA
"Through our comprehensive plan for climate adaptation, we can build greater resilience to disasters, and ensure frontline services have the resources they need to support our communities.",NA,"411",NA
"Our plan for action on global warming includes a commitment to:Create a new clean energy economy with at least 90% renewables by 2030, through our Renew Australia plan",NA,"501",NA
"Support Australians to repower their homes and businesses with clean energy, through community owned renewable energy, access to solar energy, and revolutionising our energysystem through battery storage",NA,"501",NA
"Invest in clean transport that works for people and our environment",NA,"416.2",NA
"Fund disaster preparedness and frontline services to address the global warming impacts that we are already facing",NA,"411",NA
"Keep coal in the ground, whilst ensuring that workers and communities are able to adjust to the transition as our coal usage and exports gradually decline",NA,"701",NA
"RENEWAUSTRALIA",NA,"H",NA
"We are currently heading towards a climate catastrophe.",NA,"501",NA
"Our planet is warming, sea levels are rising, we are living through hotter summers and more extreme weather events.",NA,"501",NA
"Our past relied on coal fired power, but coal can no longer secure us a prosperous and safe future.",NA,"416.2",NA
"It makes economic sense to act now.",NA,"416.2",NA
"The coal industry is in structural decline.",NA,"416.2",NA
"Coal exports aren declining and the world is shifting towards cleanenergy.",NA,"416.2",NA
"As one of the sunniest and windiest countries in the world, Australia can lead the transition to a clean energy powered future.",NA,"416.2",NA
"To avoid catastrophic global warming and stabilise warming below 1.5 degrees, Australia must cut pollution rapidly to achieve net zeropollution by 2040",NA,"501",NA
"The Australian Greens have ,a strategy to get there, and our plan for atleast 90 per cent clean energy by 2030 is a critical component.",NA,"416.2",NA
"Our plan to power the new economy includes a commitment to:Ensure that energy generation is at least 90% renewable by 2030 and our energyefficiency is doubled",NA,"416.2",NA
"Establish a new $500 million (over 5 years) government authority – RenewAustralia – tasked with planning and driving the transitionto a new clean energy system to leverage $5 billion of construction in new energy generation over the next four years",NA,"416.2",NA
"Create a $1 billion (over 15 years) Clean Energy Transition Fund to assist coal workers and communities with the transition",NA,"701",NA
"•Implement pollution intensity standards to enable the gradual, staged closure of coal fired power stations, starting with Australia’s dirtiest — Hazelwood.",NA,"501",NA
"WE’RE UP TO THE CHALLENGE",NA,"H",NA
"The Greens have a proven track record when it comes to tackling global warming and creating a clean economy.",NA,"305.1",NA
"We delivered in the last Parliament in spades when we negotiated, in the words of the International Energy Agency, model climate legislation that delivered $13 billion to clean energy through the Australian Renewable Energy Agency and the Clean Energy Finance Corporation and, of course, a price on pollution.",NA,"416.2",NA
"REPOWERING OUR COMMUNITIES",NA,"H",NA
"Australians love clean energy, and we all want to do our bit to tackle global warming.",NA,"501",NA
"The Greens have a vision for every Australian to be able to power their own home or business using the clean energy they generate themselves.",NA,"416.2",NA
"While the old parties hold on to the dirty, polluting industries of the past; the Greens have  a plan to take the power from the big polluters and give it back to the community.",NA,"416.2",NA
"With support for community owned renewable energy, battery storage and solar energy, we can transition to a clean energy future",NA,"416.2",NA
"This suite of measures is aimed at breaking down all the barriers that prevent businesses and households from installing clean energy and using it as efficiently as possible.",NA,"416.2",NA
"We want to help consumers take power away from big energy companies and democratize our energy system.",NA,"403",NA
"Our plan to repower our communitiesincludes a commitment to:Power our community with community owned renewable energy by incentivizing investment in community clean energyprojects through tax breaks",NA,"403",NA
"establish a $150 million start-up fund to get 50 Community Energy powerhouses up and running with up to two years of operational funding.",NA,"416.2",NA
"•The Greens will expand and support the Solar Communities Program with funding of $102.9 million",NA,"416.2",NA
"Help Australian households and businesses to take control of their power, reduce their bills, and create more solar jobs through a $5 million information campaign to promote the Clean Energy Finance Corporation’s schemes to support solar installation in households and businesses",NA,"403",NA
"Help 1.2 million homes get battery storage by introducing a 50 per cent refundable tax credit for individuals to assist with the cost of household solar energy storage systems and introducing a grant for low income households",NA,"416.2",NA
"ensuring a fair price for solar",NA,"403",NA
"A national program for schools to invest in clean energy",NA,"506",NA
"establishing a Solar Ombudsman  to facilitate a 'right to solar' for renters",NA,"403",NA
"Changing legislation to increase access to solar energy and modernise our energy system",NA,"403",NA
"A nationwide retrofit of Australia’s public and community housing stock of 421,000 dwellings by 2030 with rooftop solar and energy efficiency to make them cheaper to run and more comfortable to live in",NA,"411",NA
"BUILDING OUR CLEAN TRANSPORT FUTURE",NA,"H",NA
"People spend too much time stuck in traffic.",NA,"411",NA
"It’s bad for people and bad for the planet",NA,"411",NA
"We urgently need to reduce our reliance on coal, gas and oil in fuelling how we get around and cut our transport-related pollution.",NA,"411",NA
"A world-class public transport system will fix traffic congestion and make our economy more productive",NA,"411",NA
"Instead of polluting toll roads, the Greens will invest $25 billion over ten years for public transport infrastructure, low pollution buses and light rail.",NA,"411",NA
"In addition, the Greens are committed to investment in cycling and walking infrastructure as a smart, cost-effective way to reduce traffic congestion and pollution.",NA,"411",NA
"We’re also driving the transition from petroleum to electric vehicles, by providing incentives for Australian consumers, businesses and government to take up clean electric vehicle technologies.",NA,"416.2",NA
"Our plan to build our clean energy future will make our cities and towns more liveable, and reduce pollution that is bad for our health and our climate.",NA,"501",NA
"The Greens have a plan to build our clean transport future that would:Put public transport first through investing $25 billion over 10 years into a range of efficient public transport projects as first priority, before more urban mega-roads.",NA,"411",NA
"This investment is sourced via the Greens’ Australian Infrastructure Bank, which will manage financing of these investments",NA,"411",NA
"Establish an Active Transport Fund worth $250 million annually for cycling and walking infrastructure",NA,"411",NA
"Reduce road trauma by committing $300 million in additional funding for the Black Spot road safety program",NA,"411",NA
"Help to get 31,000 more electric vehicles on the road by 2021 and 3,500 more charging stations around the country through a suite of initiatives that will accelerate the take up of electric vehicle technology around Australia",NA,"411",NA
"Fast-track high-speed rail to ensure more Australians can access reliable public transport",NA,"411",NA
"LIVING WITH GLOBAL WARMING",NA,"H",NA
"Australia is the driest inhabited continent on earth with huge coastal cities.",NA,"501",NA
"We must urgently cut climate pollution, but some dangers are now inevitable.",NA,"501",NA
"Even if the world makes rapid cuts in pollution, extreme weather, floods, fires and other natural disasters are projected to increase with global warming.",NA,"501",NA
"We are already feeling the impacts of global warming.",NA,"501",NA
"This year, 2016, is set to be the hottest on record, breaking the records set in 2014 and again in 2015.",NA,"501",NA
"With just one degree of warming, we already have mass bleaching on the Great Barrier Reef, and swathes of Tasmania’s ancient wilderness have burned out of control.",NA,"501",NA
"We have the tools to fix this crisis and there are immense opportunities in jobs-rich clean energy, but some impacts are already unavoidable.",NA,"501",NA
"The Greens have a plan to adapt to the impacts which are already ‘locked in’, understanding our communities and infrastructure need to be resilient and prepared.",NA,"501",NA
"The Greens’ plan to better protect and prepare the Australian community includes a commitment to: Double the number of paid firefighters in both urban and rural areas by 2030 with an initial $120 million over the first four years.",NA,"701",NA
"Fund natural disaster preparedness such as disaster proofing infrastructure,",NA,"411",NA
"building resilience and supporting rural fire services and the SES",NA,"501",NA
"Secure the future of climate change adaptation research by funding the National Climate Change Adaptation Research Facility with a five-year, $50 million commitment",NA,"411",NA
"Plan for rising seas, by supporting state and local governments to invest in strategies to address inevitable sea level rise",NA,"501",NA
"THE END OF COAL",NA,"H",NA
"The climate can’t take any more new coal or gas.",NA,"501",NA
"The mining and burning of coal is driving dangerous globalwarming which threatens to kill our precious places like the Great Barrier Reef, and the 69,000 jobs it supports.",NA,"501",NA
"Around 90 per cent of the coal we dig up is exported – roughly 1 billion tonnes of Reefwrecking pollution, which is double Australia’s domestic pollution levels.",NA,"501",NA
"Our Great Barrier Reef and our food producing land shouldn’t be subjected to any new coal or gas mines or expansions when we have abundant clean energy that is reliable, creates more jobs and won’t worsen global warming.",NA,"501",NA
"The dirty energy industry is in freefall and we need to prepare now for the inevitable transition.",NA,"501",NA
"The Greens want to ensure a bright future for currently coal dependent communities and our environment, by making sure coal companies pay for the damage they are doing.",NA,"501",NA
"That money can be reinvested into clean energy projects, climate adaptation and our precious places like the Reef, and create new, long-term jobs.",NA,"501",NA
"To manage the transition away from coal, the Greens plan includes a commitment to:Say no to new coal or gas – the dirty energy industry is in freefall and we need",NA,"501",NA
"Create a $1 billion (over 15 Years) Clean Energy Transition Fund help workers and communities adjust to transition",NA,"701",NA
"Re-implement a price on carbon, with coal and gas exporters paying the full cost of the greenhouse gases that leak from mining operations",NA,"501",NA
"Stop giving miners tax-free fuel, while the rest of us pay 39¢ a litre – this would save the government $6 billion a year in subsidies",NA,"403",NA
"Secure jobs in mine rehabilitation before the big mining companies flee overseas and leave workers in the lurch by conducting an audit of rehabilitation costs and collecting money up-front",NA,"701",NA
"A CONFIDENT AUSTRALIA",NA,"H",NA
"Australia is a prosperous country with a proud tradition of a fair go.",NA,"601.1",NA
"We are a generous and caring nation.",NA,"601.1",NA
"We can welcome people seeking asylum who will help build our communities and contribute to our economy, becoming an asset to Australia for generations and helping make our country stronger than it has ever been.",NA,"201.2",NA
"As a wealthy nation, Australia should provide care and support for less developed countries, and contribute our fair share to alleviate povertyand long term development.",NA,"107",NA
"Australia must engage with the world, not turn our backs on it.",NA,"107",NA
"We need to transition our defence and foreign policies to be multilateraland cooperative, asserting ourselves as a responsible and independent player in the international community.",NA,"107",NA
"In order to be an outward-looking, futurefocused country, Australia must have the self-confidence that can only come once we are a republic.",NA,"204",NA
"The Greens’ plan for a confident Australia includes a commitment to: Create a safe way for people to seek asylum in Australia, givingthem a better option than a boat journey and undercutting the people smuggler’s business model",NA,"201.2",NA
"Commit our fair share towardpoverty alleviation and development by increasing our overseas aid to 0.7% of GNI over the coming decade",NA,"107",NA
"Take a diplomacy-first approach to defence and foreign affairs,emphasising nonviolent global cooperation",NA,"106",NA
"Move Australia towards becoming a Republic with an Australian headof state",NA,"204",NA
"A BETTER WAY TO WELCOME PEOPLE SEEKING ASYLUM",NA,"H",NA
"We have a proud history of welcoming people to our country and helping those who are in need.",NA,"602.2",NA
"We need to create a safe way for people to seek asylum inAustralia; the Greens don’t want to see people risking their lives by getting on boats.",NA,"201.2",NA
"If we assess people’s claim’s efficiently and fairly, then fly them to Australia directly, we undercut the people smuggler’s business model because nobody will need to riskgetting on a leaky boat.",NA,"201.2",NA
"The other parties’ policies have failed and they are harming people.",NA,"201.2",NA
"It’s up to us to build a better way.",NA,"201.2",NA
"The billions of dollars that we will save from closing down the Manus Island and Nauru detention camps will be reinvested in helpingmore people than ever before.",NA,"201.2",NA
"Australians have been let down by more than a decade of failed leadership on this issue.",NA,"201.2",NA
"The Greens bold and responsible visionincludes a commitment to:Help 50,000 people who are in need of protection each year, including 10,000 people under a new ‘skilled refugee’ programme",NA,"201.2",NA
"Remove all children and their families from detention immediately, including those in offshore detention and on Nauru",NA,"201.2",NA
"Shut the detention camps on Manus Island and Nauru and abolish the practice of offshore detention",NA,"201.2",NA
"Give $500 million to assessment and support organisations in our region to speed up the process and give people access to educationand work rights while they wait",NA,"201.2",NA
"Abolish temporary protection visas and provide permanent protection to people seeking safety",NA,"201.2",NA
"Establish a royal commission to shine a light on the decades of damage and devastation caused by the policy of holding children and their families in detention",NA,"201.2",NA
"Introduce a 30-day time limit for people held in on-shore immigration detention",NA,"201.2",NA
"THE GREENS WILL: Increase the number of people Australia helps from 13,750 to 50,000 per year",NA,"201.2",NA
"Fairly and efficiently assess people’s refugee claims wherethey are waiting then fly them to Australia safely",NA,"201.2",NA
"Establish a Skilled Refugee visa program for 10,000 people",NA,"602.2",NA
"OVERSEAS AID: TOWARDS 0.7% OF GNI",NA,"H",NA
"Australia’s overseas aid contributions have been slashed to record lows.",NA,"107",NA
"We are a rich country and can afford to provide assistance to disadvantaged communities in low-income countries.",NA,"107",NA
"To meet the Sustainable Development Goals to end poverty, ensure universal education and gender equity, and improve child and maternal health, the United Nations agreed that developed nations should devote 0.7 per cent of GNI to overseas aid.",NA,"107",NA
"The old parties formerly committed to this target, but have since slashed aid funding to record lows.",NA,"107",NA
"Other countries around the world, including Norway, Sweden, Denmark and the Netherlands, met this target years ago.",NA,"107",NA
"The British Government under David Cameron passed a bill last year that ensured that 0.7 per cent of British GNI would be put towards overseas development goals each year.",NA,"107",NA
"Australia is lagging well behind, to the detriment of our poorest neighbours.",NA,"107",NA
"As a wealthy nation, Australia should provide care and support for less developed countries and contribute our ‘fair share’ to poverty alleviation and long-term development.",NA,"107",NA
"The Greens plan to contribute our fair share of overseas aid includes a commitment to:  Increase our overseas aid contributions to 0.7% of GNI over the coming decade",NA,"107",NA
"Ensure the purpose and impact of aid is transparent and accountable",NA,"107",NA
"Provide greater focus on strengthening health systems to address sexual and reproductive health, and the prevention and consequences of HIV-AIDS, malaria, tuberculosis and non-communicable diseases.",NA,"107",NA
"Increase transparency, accountability and effectiveness of gender equality in our aid program",NA,"107",NA
"PEACE AND SECURITY",NA,"H",NA
"Australia should take an independent and globally responsible approach to our foreign affairs and defence policies.",NA,"107",NA
"International cooperation rather than military intervention is needed toresolve most of the major foreign policy challenges that Australia faces.",NA,"106",NA
"Global warming looms as a multiplier of threats and an ongoing trigger of instability throughout the world.",NA,"107",NA
"In our region, humanitarian crises and natural disasters will become more frequent.",NA,"107",NA
"The relationship Australia has with our neighbours in the Asia-Pacific should be front and centre to our foreign policy.",NA,"107",NA
"Our priority should be to assist fragile states in our region in restoringpeace, stability and the rule-of-law.",NA,"107",NA
"In the face of humanitarian crises and natural disasters, we need to make sure our defence force is well equipped to assist those most in need.",NA,"107",NA
"Through an independent approach to our foreign affairs and defence policies, we can ensure Australia acts as a confident and constructiveplayer in our region and the world – one that respects international law, protects human rights, and advocates for our values.",NA,"201.2",NA
"The Greens plan for a confident Australia includes a commitment to: Pursue an independent foreign policy that puts the needs of Australians first",NA,"601.1",NA
"Require parliamentary approval for the deployment of Australian troops overseas",NA,"106",NA
"Focus on our region, ensuring that the Australian Defence Force is well equipped to assist our neighbours with humanitarian and disaster relief",NA,"107",NA
"Return defence spending to long-term trend levels, and ensure procurement and spending is based on risk assessment, not politics –including cancelling the hugely problematic contract to purchase 72 F-35 Joint Strike Fighters",NA,"105",NA
"Promote and support global nuclear disarmament, including a global treaty to ban nuclear weapons",NA,"106",NA
"TOWARDS AN AUSTRALIAN REPUBLIC",NA,"H",NA
"There’s never been a better time for Australia to become a republic.",NA,"204",NA
"With all three federal political leaders in favour of a republic, and with the state and territory leaders declaring their support, there’s more momentum than ever before.",NA,"204",NA
"Currently, Australia’s head of state is inherited from overseas and is determined by birth rather than merit.",NA,"204",NA
"A confident Australia needs an Australian head of state that will placeAustralian people and institutions at the heart of their work.",NA,"204",NA
"Australian children born today should have the opportunity to hold thisposition into the future.",NA,"204",NA
"Australia has our own values and identity, and we have carved ourselves an independent place in the world.",NA,"602.1",NA
"That should be reflected in independent government institutions, and an Australian head of state.",NA,"204",NA
"The Greens have a plan to move toward an Australian Republic which includes a commitment to: Use a combination of online and direct citizen forums across the country to consult with Australians and organisations about whetheror not Australia should become a republic and explore possible models",NA,"202.4",NA
"Address the threshold question and models for a republic informed by the state and territory discussions through a jury of citizens",NA,"202.4",NA
"Hold a plebiscite on the threshold question to allow Australians to indicate their support for a republic before voting on any specific republican model",NA,"202.4",NA
"Hold a national convention on the republic to work on technical aspects of constitutional amendments following the outcome of the plebiscite",NA,"202.4",NA
"Conclude with a referendum to formally put a proposal for a constitutional change to the Australian people",NA,"202.4",NA
"PROTECTING OUR PRECIOUS PLACES",NA,"H",NA
"From preventing the Great Barrier Reef becoming a coal highway to protecting our native forests from logging and global warming, commitment to our precious places has never been more important.",NA,"501",NA
"Around our nation, our environment is under threat from global warming, unsustainable development, mining and pollution – with the full support of the old parties.",NA,"501",NA
"By refusing to admit that massive new coal mines, and new gas fracking are huge contributors to global warming, they are signing the death warrants for some of our most precious natural places.",NA,"501",NA
"The Greens were founded on the vision of a robust and healthy environment.",NA,"501",NA
"We'll always stand to protect our precious places now and for future generations.",NA,"501",NA
"Dredging for coal and gas ports and mass coral bleaching are threatening the Great Barrier Reef.",NA,"501",NA
"New coal and gas mining is threatening our forests and food bowls.",NA,"501",NA
"Tasmania's incredible World Heritage wilderness is under threat from bushfires driven by global warming.",NA,"501",NA
"Forests and bushlands around the country, and their unique wildlife are under threat from tree clearing and logging.",NA,"501",NA
"Commitment to our precious places has never been more important. To ensure our reefs, forests and precious places are here for future generations, we must stand up to protect them.",NA,"501",NA
"The Greens have a plan to protect our precious places which includesa commitment to:Save our Great Barrier Reef, and invest in the jobs of the future, by transitioning away from coal and gas and implementing measures that will secure the long term health of the Reef",NA,"501",NA
"Enhance the sustainability of our unique environment, includingour native plants and animals, by supporting environmental initiatives like the Biodiversity Fund and Indigenous Rangers",NA,"501",NA
"End the destruction of our native forests, and protect our marine ecosystems",NA,"501",NA
"Deliver a new Environment Act and a tough new independent watchdog, the National Environment Protection Authority",NA,"501",NA
"PROTECTING OUR GREAT BARRIER REEF",NA,"H",NA
"Our Great Barrier Reef is at a tipping point.",NA,"501",NA
