"text","text_en","cmp_code","eu_code"
"Our plan for a better future for all Australians Labor’s policies",NA,NA,NA
"Anthony Albanese and Labor have a plan for a better future.",NA,"305.2",NA
"Australians deserve a leader who is not afraid to roll up their sleeves and do the hard work needed to get things done.",NA,"305.2",NA
"But after nearly a decade in office, Scott Morrison still refuses to take responsibility, goes missing in action, blames others and can’t admit his mistakes.",NA,"305.2",NA
"From the bushfires to the bungled vaccine rollout to not securing enough rapid tests, Morrison’s mistakes have held Australians back.",NA,"305.2",NA
"Australians deserve so much better.",NA,"601.1",NA
"With your support at the 2022 federal election, Anthony Albanese and Labor will: Strengthen Medicare by making it easier to see the doctor.",NA,"504",NA
"Create secure local jobs by investing in Fee-Free TAFE",NA,"701",NA
"and more university places,",NA,"506",NA
"and make your job more secure with better pay and conditions.",NA,"701",NA
"Make child care cheaper so that it’s easier for working families to get ahead.",NA,"504",NA
"Make more things here in Australia by working with business to invest in manufacturing and renewables to create more Australian jobs.",NA,"701",NA
"Labor will deliver a future where no one is held back and no one is left behind.",NA,"503",NA
"You can read more below about Anthony Albanese and Labor’s plan for a better future for all Australians.",NA,"601.1",NA
"Medicare and Your Health. Making it easier to see a doctor",NA,"H",NA
"Since the Liberals have been in Government, it is harder and costs more to see a doctor.",NA,"504",NA
"The results of deliberately running down Medicare and general practice end up in the local hospital – with people presenting at emergency departments because they have no alternative.",NA,"504",NA
"Almost a decade of Liberal neglect means that primary care is in crisis,",NA,"504",NA
"particularly in outer suburbs and regional and rural communities.",NA,"504",NA
"Demand for healthcare is skyrocketing – we need more GPs,",NA,"504",NA
"and better access to other health care professionals.",NA,"504",NA
"Without this, it is going to get even harder to see a GP, and the fees you pay once you do get in will be even higher.",NA,"504",NA
"And it is only through fixing primary care that we will take the pressure off our hospitals.",NA,"504",NA
"Australia is experiencing a severe shortage of GPs in outer-metro and regional areas.",NA,"504",NA
"People are struggling to see a doctor and waiting months for appointments.",NA,"504",NA
"In 2019, Scott Morrison’s government made a bad situation worse by making more cuts – cuts that meant some regions of Australia are now banned from hosting the overseas trained doctors and doctors in the bonded medical program that once served their communities.",NA,"504",NA
"Now, practices are closing or sitting empty because they can’t find GPs, yet they’re told by the Morrison Government they can’t recruit doctors the same way they used to.",NA,"504",NA
"This is irresponsible at the best of times – but cutting off GP access during a global pandemic and a GP crisis is inexcusable.",NA,"504",NA
"Labor will boost workforce incentives for rural and regional GPs to support the engagement of nurses, allied health and other health professionals and provide multidisciplinary team-based care.",NA,"504",NA
"We will expand the Innovative Models of Collaborative Care program across rural and regional Australia to attract, support and retain rural health professionals,",NA,"504",NA
"expand the John Flynn Prevocational Doctor Program to more than 1,000 placements in rural Australia per year,",NA,"504",NA
"and strengthen rural generalist and GP registrar training.",NA,"504",NA
"All Australians deserve access to universal, prompt, and world class medical care, and no one deserves to face a multi-year wait for vital treatments simply due to the cost.",NA,"504",NA
"Cutting Medicare is in the Liberals’ DNA.",NA,"504",NA
"You can never trust the Liberals on Medicare.",NA,"504",NA
"Labor built Medicare and we will always protect it.",NA,"504",NA
"Making it Easier to See a Doctor",NA,"H",NA
"Labor will deliver at least 50 Medicare Urgent Care Clinics, to take pressure off our emergency departments.",NA,"504",NA
"Medicare Urgent Care Clinics will make it easier for Australian families to see a doctor or a nurse when they have an urgent, but not life threatening, need for care.",NA,"504",NA
"Medicare Urgent Care Clinics will bulk bill, meaning there will be no out-of-pocket costs.",NA,"504",NA
"Medicare Urgent Care Clinics will be based in existing GP clinics and Community Health Centres and provide bulk billed services delivered by doctors and nurses – in every state and territory.",NA,"504",NA
"This includes treating sprains and broken bones, stitches and glue for cuts, wound care, insect bites, minor ear and eye problems, and minor burns.",NA,"504",NA
"All important and time-critical treatments that don’t need a hospital emergency department.",NA,"504",NA
"Labor will also: change the rules to allow regional and outer metro communities to recruit more doctors of their choosing – both locals and overseas trained GPs.",NA,"504",NA
"expand the newborn screening program, increasing the number of screened conditions from around 25 to 80.",NA,"504",NA
"improve pandemic preparedness and response by establishing an Australian Centre for Disease Control.",NA,"504",NA
"Labor built Medicare.",NA,"504",NA
"Australians know they can trust us to keep Medicare safe and strong, and to put the health of our people first.",NA,"504",NA
"Cutting the Cost of Medications",NA,"H",NA
"Millions of Australians will save $12.50 on medical scripts under an Albanese Labor Government.",NA,"504",NA
"Labor has committed to cut the cost of medications by reducing the Pharmaceutical Benefits Scheme (PBS) co-payment from the current maximum of $42.50 per script, to a maximum of $30 per script.",NA,"504",NA
"Costs of living are soaring with many Australians cutting back on essentials in order to make ends meet.",NA,"504",NA
"They are being forced to choose between filling prescriptions for potentially life saving medicines, and providing food and shelter for their families.",NA,"504",NA
"Labor’s plan will keep the costs of medications down",NA,"504",NA
"and ease some of the cost-of-living pressures that Australians are facing.",NA,"504",NA
"Secure Australian Jobs",NA,"H",NA
"Good secure work should pay the bills.",NA,"701",NA
